happinessRank,country,score,pop2021,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
1,Finland,7.809,5548.36,10.775,0.954,72,0.949,-0.098,0.186
2,Denmark,7.646,5813.298,10.933,0.954,72.7,0.946,0.03,0.179
3,Switzerland,7.56,8715.494,11.117,0.942,74.4,0.919,0.025,0.292
4,Iceland,7.504,343.353,10.878,0.983,73,0.955,0.16,0.673
5,Norway,7.488,5465.63,11.053,0.954,73.3,0.96,0.093,0.27
6,Netherlands,7.449,17173.099,10.932,0.942,72.4,0.913,0.175,0.338
7,Sweden,7.353,10160.169,10.867,0.934,72.7,0.945,0.086,0.237
8,New Zealand,7.3,4860.643,10.643,0.948,73.4,0.929,0.134,0.242
9,Austria,7.294,9043.07,10.906,0.934,73.3,0.908,0.042,0.481
10,Luxembourg,7.238,634.814,11.647,0.908,72.6,0.907,-0.034,0.386
11,Canada,7.232,38067.903,10.776,0.926,73.8,0.915,0.089,0.415
12,Australia,7.223,25788.215,10.796,0.94,73.9,0.914,0.159,0.442
13,United Kingdom,7.165,68207.116,10.707,0.934,72.5,0.859,0.233,0.459
14,Israel,7.129,8789.774,10.575,0.939,73.503,0.8,0.031,0.753
15,Costa Rica,7.121,5139.052,9.88,0.891,71.4,0.934,-0.126,0.809
16,Ireland,7.129,4982.907,11.342,0.947,72.4,0.879,0.077,0.363
17,Germany,7.076,83900.473,10.873,0.903,72.5,0.875,0.011,0.46
18,United States,6.94,332915.073,11.023,0.92,68.2,0.837,0.098,0.698
19,Czech Republic,6.911,10724.555,10.556,0.947,70.807,0.858,-0.208,0.868
20,Belgium,6.864,11632.326,10.823,0.906,72.199,0.783,-0.153,0.646
21,United Arab Emirates,6.791,9991.089,11.085,0.844,67.333,0.932,0.074,0.589
22,Malta,6.773,442.784,10.674,0.931,72.2,0.927,0.133,0.653
23,France,6.664,65426.179,10.704,0.942,74,0.822,-0.147,0.571
24,Mexico,6.465,130262.216,9.859,0.831,68.597,0.862,-0.147,0.799
25,Taiwan,6.455,23855.01,10.871,0.898,69.6,0.784,-0.07,0.721
26,Uruguay,6.44,3485.151,9.966,0.925,69.1,0.896,-0.092,0.59
27,Saudi Arabia,6.406,35340.683,10.743,0.891,66.603,0.877,-0.149,0.684
28,Spain,6.401,46745.216,10.571,0.932,74.7,0.761,-0.081,0.745
29,Guatemala,6.399,18249.86,9.053,0.813,64.958,0.906,-0.038,0.775
30,Italy,6.387,60367.477,10.623,0.88,73.8,0.693,-0.084,0.866
31,Singapore,6.377,5896.686,11.488,0.915,76.953,0.927,-0.018,0.082
32,Brazil,6.376,213993.437,9.577,0.882,66.601,0.804,-0.071,0.756
33,Slovenia,6.363,2078.724,10.529,0.948,71.4,0.949,-0.101,0.806
34,El Salvador,6.253,6518.499,0.794,1.242,0.789,0.43,0.093,0.074
36,Panama,6.305,4381.579,10.35,0.896,69.652,0.872,-0.166,0.856
37,Slovakia,6.281,5460.721,10.369,0.936,69.201,0.766,-0.124,0.911
38,Uzbekistan,6.258,33935.763,8.836,0.918,65.255,0.97,0.311,0.515
39,Chile,6.228,19212.361,10.071,0.882,70,0.742,-0.044,0.83
40,Bahrain,6.227,1748.296,10.669,0.862,69.495,0.925,0.089,0.722
41,Lithuania,6.215,2689.862,10.499,0.935,67.906,0.773,-0.203,0.826
42,Trinidad and Tobago,6.192,1403.375,1.231,1.477,0.713,0.489,0.185,0.016
43,Poland,6.186,37797.005,10.382,0.898,69.702,0.841,-0.165,0.735
44,Colombia,6.163,51265.844,9.557,0.847,68.001,0.837,-0.135,0.841
45,Cyprus,6.159,1215.584,10.576,0.802,73.898,0.763,-0.015,0.844
46,Nicaragua,6.137,6702.385,8.62,0.864,67.657,0.836,0.02,0.664
47,Romania,6.124,19127.774,10.284,0.832,67.355,0.845,-0.219,0.938
48,Kuwait,6.102,4328.55,10.817,0.843,66.9,0.867,-0.104,0.736
49,Mauritius,6.101,1273.433,10.008,0.905,66.701,0.867,-0.054,0.789
50,Kazakhstan,6.058,18994.962,10.155,0.952,65.2,0.853,-0.069,0.733
51,Estonia,6.022,1325.185,10.481,0.941,68.8,0.909,-0.106,0.527
52,Philippines,6.006,111046.913,9.076,0.83,62,0.917,-0.097,0.742
53,Hungary,6,9634.164,10.358,0.943,68,0.755,-0.186,0.876
54,Thailand,5.999,69950.85,9.805,0.888,67.401,0.884,0.287,0.895
55,Argentina,5.975,45605.826,9.962,0.898,69,0.828,-0.182,0.834
56,Honduras,5.953,10062.991,8.648,0.812,67.3,0.857,0.081,0.809
57,Latvia,5.95,1866.942,10.315,0.927,67.1,0.715,-0.162,0.8
58,Ecuador,5.925,17888.475,9.313,0.821,68.8,0.842,-0.124,0.843
59,Portugal,5.911,10167.925,10.421,0.879,72.6,0.892,-0.244,0.887
60,Jamaica,5.89,2973.463,9.186,0.877,67.5,0.89,-0.137,0.884
61,South Korea,5.872,51305.186,10.651,0.799,73.9,0.672,-0.083,0.727
62,Japan,5.871,126050.804,10.611,0.884,75.1,0.796,-0.258,0.638
63,Peru,5.797,33359.418,9.458,0.832,68.25,0.822,-0.154,0.891
64,Serbia,5.778,8697.55,9.787,0.873,68.6,0.778,0.002,0.835
65,Bolivia,5.747,11832.94,9.046,0.81,63.901,0.875,-0.077,0.839
66,Pakistan,5.693,225199.937,8.458,0.651,58.709,0.726,0.098,0.787
67,Paraguay,5.692,7219.638,9.448,0.893,65.9,0.876,0.028,0.882
68,Dominican Republic,5.689,10953.703,9.802,0.853,66.102,0.86,-0.133,0.714
69,Bosnia and Herzegovina,5.674,3263.466,9.59,0.87,68.098,0.706,0.113,0.931
70,Moldova,5.608,4024.019,9.454,0.857,65.699,0.822,-0.079,0.918
71,Tajikistan,5.556,9749.627,8.091,0.86,64.281,0.832,-0.056,0.553
72,Montenegro,5.546,628.053,9.94,0.858,68.699,0.708,-0.034,0.812
73,Russia,5.546,145912.025,10.189,0.903,64.703,0.718,-0.111,0.845
74,Kyrgyzstan,5.542,6628.356,8.538,0.893,64.401,0.935,0.119,0.908
75,Belarus,5.54,9442.862,9.853,0.91,66.253,0.65,-0.18,0.627
77,Greece,5.515,10370.744,10.279,0.823,72.6,0.582,-0.288,0.823
78,Hong Kong,5.51,7552.81,11,0.836,76.82,0.717,0.067,0.403
79,Croatia,5.505,4081.651,10.217,0.924,70.799,0.754,-0.118,0.939
80,Libya,5.489,6958.532,9.622,0.827,62.3,0.771,-0.087,0.667
81,Mongolia,5.456,3329.289,9.4,0.935,62.5,0.708,0.116,0.856
82,Malaysia,5.384,32776.194,10.238,0.817,67.102,0.895,0.125,0.839
83,Vietnam,5.353,98168.833,8.973,0.85,68.034,0.94,-0.098,0.796
84,Indonesia,5.286,276361.783,9.365,0.811,62.236,0.873,0.542,0.867
85,Ivory Coast,5.233,27053.629,8.551,0.644,50.114,0.741,-0.016,0.794
86,Benin,5.216,12451.04,8.087,0.489,54.713,0.757,-0.034,0.661
87,Maldives,5.198,543.617,9.826,0.913,70.6,0.854,0.024,0.825
88,Republic of the Congo,5.194,5657.013,8.117,0.636,58.221,0.695,-0.068,0.745
89,Azerbaijan,5.165,10223.342,9.569,0.836,65.656,0.814,-0.223,0.506
90,Macedonia,5.16,2082.658,9.693,0.805,65.474,0.751,0.038,0.905
